1,12,12
2,17,17
3,16,16
4,15,15
5,13,13
6,13,13
7,14,14
8,14,14
9,12,12
10,15,15
11,13,13
12,12,12
13,13,13
14,14,14
15,15,15
16,16,16
17,16,16
18,11,11
19,11,11
20,14,14
21,12,12
22,13,13
23,15,15
24,15,15
25,15,15
26,15,15
27,17,17
28,15,15
29,12,12
30,14,14
31,14,14
32,13,13
33,11,11
34,12,12
35,12,12
36,12,12
37,14,14
38,13,13
39,15,15
40,11,11
41,15,15
42,12,12
43,14,14
44,14,14
45,15,15
46,17,17
47,12,12
48,15,15
49,11,11
50,13,13
51,18,18
52,13,13
53,12,12
54,13,13
55,14,14
56,14,14
57,13,13
58,16,16
59,11,11
60,14,14
61,13,13
62,13,13
63,14,14
64,15,15
65,12,12
66,16,16
67,14,14
68,14,14
69,16,16
70,15,15
71,13,13
72,14,14
73,14,14
74,11,11
75,12,12
76,14,14
77,12,12
78,11,11
79,14,14
80,14,14
81,12,12
82,13,13
83,12,12
84,12,12
85,13,13
86,15,15
87,13,13
88,12,12
89,13,13
90,11,11
91,11,11
92,13,13
93,13,13
94,12,12
95,11,11
96,14,14
97,14,14
98,13,13
99,15,15
100,14,14
